点ID,左影像行号,左影像列号,右影像行号,右影像列号,左像平面X,左像平面Y,右像平面X,右像平面Y
1,5741,4082,5358.7778,1390.5556,0.747,0.072,-23.476,3.512
2,5716,3994,5333.4444,1300.2222,-0.045,0.297,-24.289,3.74
3,5813,4102,5431.6667,1410.5556,0.927,-0.576,-23.296,2.856
4,8247,4366,7894.8889,1624.3333,3.303,-22.482,-21.372,-19.313
5,7540,4367,7180.4444,1641,3.312,-16.119,-21.222,-12.883
6,8165,3608,7809.3333,838.1111,-3.519,-21.744,-28.448,-18.543
7,7483,4384,7122.4444,1659.2222,3.465,-15.606,-21.058,-12.361
8,8508,4399,8159,1653.5556,3.6,-24.831,-21.109,-21.69
9,6727,3769,6358.2222,1041.7778,-2.07,-8.802,-26.615,-5.483
10,6628.7778,7025.6667,6252,4473,27.24,-7.918,4.266,-4.527
11,5208.4444,6335.2222,4799,3771,21.026,4.865,-2.052,8.55
12,6248.8889,7019.4444,5863,4482,27.184,-4.499,4.347,-1.026
13,6603.7778,7136.7778,6226,4592,28.24,-7.693,5.337,-4.293
14,6182.3333,6981.1111,5795,4443,26.839,-3.9,3.996,-0.414
15,6130.7778,7443.8889,5738,4924,31.004,-3.436,8.325,0.099
16,7771.7778,7072.4444,7416,4454,27.661,-18.205,4.095,-15.003
17,7469.4444,7102.8889,7107,4491,27.935,-15.484,4.428,-12.222
18,1155,3341.3333,696,720,-5.919,41.346,-29.511,45.477
19,1509.6667,6007.4444,995,3473,18.076,38.154,-4.734,42.786
20,3921,4807,3500,2199,7.272,16.452,-16.2,20.241
21,9914.3333,3859.5556,9571.2222,1054.2222,-1.255,-37.488,-26.503,-34.4
22,10313.4444,6373.7778,9998,3641,21.373,-41.08,-3.222,-38.241
23,9483,5031,9148.5556,2290.7778,9.288,-33.606,-15.374,-30.596
24,9437,6074,9106,3338.3333,18.675,-33.192,-5.946,-30.213
25,8973,4192,8626.5556,1422,1.737,-29.016,-23.193,-25.898
26,9124,4904,8785.2222,2173.4444,8.145,-30.375,-16.43,-27.326
27,9023,5611,8686.1111,2897.2222,14.508,-29.466,-9.916,-26.434
28,8745,4365,8397.5556,1608.7778,3.294,-26.964,-21.512,-23.837
29,8754,4993,8411.7778,2275.7778,8.946,-27.045,-15.509,-23.965
30,8561,5207,8217.5556,2504,10.872,-25.308,-13.455,-22.217
31,8867,5905,8527.7778,3192.6667,17.154,-28.062,-7.257,-25.009
32,8174,6007,7824.3333,3320.8889,18.072,-21.825,-6.103,-18.678
33,7731,5358,7376.3333,2684.5556,12.231,-17.838,-11.83,-14.646
34,7966,5876,7609.8889,3166.5556,16.893,-19.953,-7.492,-16.748
35,7969,5919,7613.1111,3211.2222,17.28,-19.98,-7.09,-16.777
36,7424,4918,7063.3333,2220.8889,8.271,-15.075,-16.003,-11.829
37,7308,5439,6946.7778,2782.1111,12.96,-14.031,-10.952,-10.78
38,7558,5670,7197.3333,2980.5556,15.039,-16.281,-9.166,-13.035
39,7550,6231,7189.1111,3571,20.088,-16.209,-3.852,-12.961
40,6768,4174,6398.7778,1462.5556,1.575,-9.171,-22.828,-5.848
41,6876,5310,6508,2659,11.799,-10.143,-12.06,-6.831
42,6968,5526,6600.7778,2878.7778,13.743,-10.971,-10.082,-7.666
43,6600,4149,6228.8889,1440.7778,1.35,-7.659,-23.024,-4.319
44,6717,5504,6346,2866.6667,13.545,-8.712,-10.191,-5.373
45,6241,4223,5864.5556,1526.7778,2.016,-4.428,-22.25,-1.04
46,6191,4728,5811.5556,2054.2222,6.561,-3.978,-17.503,-0.563
47,6175,5461,5794.1111,2837.5556,13.158,-3.834,-10.453,-0.406
48,6019,5810,5633.4444,3207.8889,16.299,-2.43,-7.12,1.04
49,6087,6084,5701.2222,3494.8889,18.765,-3.042,-4.537,0.43
50,5807,4694,5422.1111,2030.3333,6.255,-0.522,-17.718,2.942
51,5798,5398,5410,2777.5556,12.591,-0.441,-10.993,3.051
52,5609,5541,5216.4444,2936.4444,13.878,1.26,-9.563,4.793
53,4640,5085,4229,2466.4444,9.774,9.981,-13.793,13.68
54,4228,4646,3813.5556,2016.1111,5.823,13.689,-17.846,17.419
55,4134,5905,3704.6667,3362,17.154,14.535,-5.733,18.399
56,3282,4529,2851.4444,1937.3333,4.77,22.203,-18.555,26.078
57,3013,4517,2576.2222,1930.2222,4.662,24.624,-18.619,28.555
58,2827,4737,2378.5556,2137.3333,6.642,26.298,-16.755,30.334
59,2968,6188,2502.7778,3695.3333,19.701,25.029,-2.733,29.216
60,2576,5126,2115.6667,2563.2222,10.143,28.557,-12.922,32.7
61,2084,4282,1624.7778,1670.5556,2.547,32.985,-20.956,37.118
62,1906,4598,1434,1996.4444,5.391,34.587,-18.023,38.835
63,2209,5333,1732.5556,2777.5556,12.006,31.86,-10.993,36.148
